field	level	parent	description	type	format	mandatory
poseidonVersion	0		Poseidon package format version (e.g. 2.0.1)	String		TRUE
title	0		title of the package	String		TRUE
description	0		some descriptive words about the package	String		FALSE
contributor	0		list of contributors to the package (not publication author, but the Poseidon package creator)	Array		FALSE
name	1	contributor	name of one contributor	String		TRUE
email	1	contributor	email of one contributor (must be a valid email address)	String	Email	TRUE
orcid	1	contributor	orcid of one contributor (must be a valid orcid)	String	ORCID	FALSE
packageVersion	0		version of the package (should be changed/incremented when the package is changed)	String		TRUE
lastModified	0		date of last modification of the Poseidon package (should be updated when the package is changed)	Date	YYYY-MM-DD	TRUE
genotypeData	0		genotype file name section			TRUE
format	1	genotypeData	file format definition, allows EIGENSTRAT and PLINK	String		TRUE
genoFile	1	genotypeData	relative path to genoFile	String	Path	TRUE
genoFileChkSum	1	genotypeData	md5 checksum of the genoFile	String		FALSE
snpFile	1	genotypeData	relative path to snpFile	String	Path	TRUE
snpFileChkSum	1	genotypeData	md5 checksum of the snpFile	String		FALSE
indFile	1	genotypeData	relative path to indFile	String	Path	TRUE
indFileChkSum	1	genotypeData	md5 checksum of the indFile	String		FALSE
snpSet	1	genotypeData	Can be either 1240K, HumanOrigins or Other depending on the list of SNPs used	String	(1240K|HumanOrigins|Other)	FALSE
jannoFile	0		relative path to jannoFile	String	Path	FALSE
jannoFileChkSum	1	genotypeData	md5 checksum of the jannoFile	String		FALSE
bibFile	0		relative path to bibFile	String	Path	FALSE
bibFileChkSum	1	genotypeData	md5 checksum of the bibFile	String		FALSE
readmeFile	0		relative path to readmeFile	String	Path	FALSE
changelogFile	0		relative path to changelogFile	String	Path	FALSE
